"","no","comments","likes","date","caption","time","Sentiment_Score","Time","Popularity_Score","animal_score"
"123",13,3338,284201,"2015-11-23 17:47:47","photo by  | Meet the Madagascar pochard - the rarest and most threatened duck on the planet. This photo was taken at the Pochard Captive Breeding Centre managed by the Durrell Wildlife Conservation Trust and Wildfowl & Wetlands Trust in Antsohihy, Madagascar. This bird was thought extinct for decades, but fortunately 25 birds were rediscovered on a remote lake in 2006 by a biologist from The Peregrine Fund. The vulnerability of having the entire world population at one site prompted a rescue mission led by the Durrell Wildlife Conservation Trust, Wildfowl & Wetlands Trust, and the government of Madagascar. They collected eggs from wild nests to establish a safety-net population in captivity, and have been very successful so far: 63 ducklings have been produced! Despite being on the absolute brink 10 years ago, the future for the Madagascar pochard is looking good. The protection of the wild birds, the successful establishment of a captive population, and preparations underway to release captive-bred birds back into the wild are all contributing to make this one of the world’s great conservation success stories.     natgeo natgeophotos PhotoArk photooftheday joelsartore pochard endangeredspecies wildlife WWT PeregrineFund captivebreeding",1448329667,8,"PM",451101,1
"124",14,740,260399,"2015-11-23 16:51:28"," July 2015. Sólheimajókull Glacier, Iceland. When we installed one of our first extremeicesurvey timelapse cameras to watch this magnificent glacier back in 2007, we had doubts whether or not the camera would work. Now eight years later, it has been running more or less continuously and has witnessed and recorded monumental change. For reference, the lake in the image is nearly 1 km/0.6 mi wide. Keep that in mind and take a peek at the first image our camera took back in March 2007 on my account .ClimateChange Anthropocene ArtPlusScience EarthtoParis COP21 LoveEarth Proof",1448326288,-1,"PM",297399,0
"125",15,563,196004,"2015-11-23 15:53:41","Photography by  /  asked me to write about what it's like to photograph the refugee crisis in my homeland. Left: Antonija Ogorelec, a resident of Rigonce, was overwhelmed by memories as she watched refugees walk through her town. She was 20 years old when she was a refugee taken to a labor camp in Germany during World War II.Right: A young refugee is seen while passing through Rigonce in Slovenia.Published today at PROOF - NG's photography journal. Link also in my  profile.http:proof.nationalgeographic.com/2015/11/23/covering-a-desperately-long-walk-through-small-town-slovenia PROOF refugeecrisis Slovenia Europe",1448322821,-1,"PM",224154,0
"126",16,923,341333,"2015-11-23 15:04:35","Photo from  | These small fish, called ornate wrasses, prey on various invertebrates in the miniature algal forests of the Mediterranean. And then they in turn become the prey of larger fish such as groupers--all part of a marine reserve's complex food web.  National Geographic Explorer-in-Residence and Pristine Seas leader . Follow  to the wildest and most remote places on earth. National Geographic's Pristine Seas project is on a mission to explore, document, and help protect these places, and inspire world leaders to establish marine reserves where marine life can thrive for generations to come. Cabrera NationalPark Mediterranean kaleidoscope conservation exploration",1448319875,4,"PM",387483,1
"127",17,2894,403260,"2015-11-23 13:34:28"," A bottlenose dolphins plays with a seed pod from a mangrove plant in the waters off Honduras. Game play is one of the ways we know dolphins to be smart. With the second largest brains relative to body size in the animal kingdom, after humans, dolphins are highly intelligent animals, though much of their lives remain a mystery. Coverage from the May 2015  cover story on dolphin cognition. Follow  to see more ocean wildlife pictures!dolphins nature love animalplay cognition Honduras OceanWild ",1448314468,3,"PM",547960,1
"128",18,391,250235,"2015-11-23 12:23:59"," Pete McBride () shot on assignment for   Dropping into Marble Canyon via a 150-foot rappel,  sits in his element. Just completed leg 3 and another 70 miles of our Grand walk. Roughly 200 miles down, 400 to go as we explore this magical rock world. To see more, follow . chasingrivers grandcanyon gratitude fun love climbing wilderness",1448310239,3,"PM",269785,0
"129",19,1166,335582,"2015-11-23 10:51:24","   Scores of shikaras filled with fruits and vegetables jostle for space on Dal Lake, Kashmir, as farmers transact the early morning business of Srinagar's wholesale produce market. Some farmers tend floating gardens: They weave stalks of water plants into a living offshore raft, cover it with soil, and then plant crops.",1448304684,0,"AM",393882,0
"130",20,1425,190677,"2015-11-23 10:00:18","Photograph by . At the Monell Chemical Senses Center, children are subject to a series of taste tests from the age of two weeks to fourteen months. The children are fed, by their mother, a range of bitter to sweet foods. It's been discovered that as children age, reactions may vary. They prefer much higher levels of sweet and salt, and they are more sensitive to some bitters than adults are. Featured in ""The Science of Delicious"" story in the current issue of National Geographic.",1448301618,1,"AM",261927,0
"131",1,252,73840,"2015-11-26 13:41:41","Grateful for all the wild places, wild creatures and wild souls that share this place called earth.   petemcbride  happythanksgiving gratitude thanks antarctica humpbackwhale earthtoparis",1448574101,3,"PM",86440,0
"132",2,1510,130016,"2015-11-26 12:58:04","Photo .  Happy Turkey Day to all!  Here’s one happy bird that got away!  I photographed this wild turkey in Lexington Massachusetts in the woods near where I live.  Wild turkeys have made a huge comeback.  One hundred years ago, they were nearly hunted out and perhaps less than 30,000 remained in all of North America. Today, thanks to game management and conservation efforts, the population has rebounded to 7 million, and they are becoming common even in suburban areas.  thanksgiving, turkey, massachusetts, , .",1448571484,4,"PM",205516,1
"133",3,4851,204478,"2015-11-26 12:45:29","Photograph by  To discover why great white sharks venture inshore near the southern tip of Africa during the summer months, scientists from the White Shark Trust used sea kayaks to track their movements. Normally the routine involves the kayak tracking the sharks, but in this case the white shark decided to track the kayak instead. To take this photograph I tied myself to the tower of the research boat and leant out over the water. Once the first shark saw the kayak, it dove down to inspect it from below and then slowly rose to check it out. I took the shot a fraction of a second after its dorsal fin emerged, just as the research assistant turned to look behind him. For me it’s that connection that makes the picture.This iconic photograph by  is now available as an archival print Follow the direct link on the  Instagram feed below the profile. photooftheday picoftheday shark underwater scuba photography photo    ",1448570729,2,"PM",447028,0
"134",4,2710,174175,"2015-11-26 11:49:59","Two young men painted blue during carnival in Jacmel, Haiti in 2015.   student Paul Saint Fleur, 20. Carnival in this small city on the southern coast of Haiti is taken very seriously with people dressing up in a myriad of ways. Students of FotoKonbit shot a story for  featured in the December issue of National Geographic Magazine entitled Haiti On Its Own Terms.  Link:  http:ngm.nationalgeographic.com/2015/12/haiti-photos-by-haitians-text.  Haiti is more than a country of disasters. It is a country of sunlight and see and a place of pride and possibility.    ngm fotokonbit natgeo haiti ayiti jacmel carnival",1448567399,0,"AM",309675,0
"135",5,1015,244601,"2015-11-26 11:03:15","  Happy Thanksgiving!! Introducing Big Daddy! Talk about being blown away! When I set the camera up on this small bridge, I had no idea of what I would see the next morning.A healthy, large vibrant male was a wonderful surprise. Sanjay Gandhi National Park (SGNP) in Mumbai India is a jewel of the world. Mumbai can show the world the way forward in living with large cats! As there is no other place like it on the planet.SGNP is more proof that we humans live with majestic animals in urban areas without even knowing they are there - AND without major problems - if we let them be. Leopards are the most adaptable and the most persecuted cat on our planet. Protect Sanjay Gandhi National Park and Aarey and all the buffer zones. Recent coverage on some local TV networks is an embarrassment to India’s success living with tigers and leopards AND the incredible work done by the staff of SGNP and Vidya Athreya.Do not lie about the truth, and the reality of the success of living with leopards in your race for TV viewers - there has not been an attack in in SGNP in the last 3 years!!!!!! Read the piece below for the TRUTH. India is so unique in the world in their spiritual and cultural respect for living with tigers, leopards and elephants etc. Take this honor with the responsibility for saving SGNP and all the animals within.The problems in the past in SGNP were created by humans - relocating leopards from 200km away into the city in an area that already had resident males or females - human mistakes, caused problems 13 years ago.http:ngm.nationalgeographic.com/2015/12/leopards-moving-to-cities-textOur natural world is simply perfect and incredibly amazing. And without it we as humans cannot survive - we need to wake up and save the nature that we depend on for our oxygen, water and food - life itself. If we save big cats we can save ourselves.Shot for my  Leopard story.follow me  to see other images, thanks!   bigcatsforeverivoryfree wildaid bigcatsforever beauty me follow love leopards photooftheday startwith1thing picoftheday smile beauty frien",1448564595,12,"AM",295351,1
"136",6,787,277121,"2015-11-26 10:08:07","  (Robbie Shone) - At 3,482 m asl (11,430 ft) the small cave at the top of the Jungfraujoch is Europe's highest known cave. Once we were inside and away from the entrance where the public pass by, the temperature dropped and ice crystals grew out from the walls in increasing numbers the further we went, reaching a point where the tunnel was almost completely blocked by these giant ice crystals. We were there as part of a scientific study looking at permafrost underground in caves in the Alps.",1448561287,1,"AM",316471,0
"137",7,660,119367,"2015-11-26 09:15:16","  Martin: “What happened that you ended up living on the streets?”Sandino: “I started gang banging at twelve-years-old. I started doing this stuff right here and really getting involved in the streets of LA. I got shot when I was fifteen and the bullet came out here and came out there. And then I lost two brothers in gang banging. They got shot and killed. I got them tattooed right here, rest in peace.”M: “Two blood brothers?”S: “Yeah. I had a twin brother and I had an older brother who got murdered out here so I put them out here on my hand and then I got my ink to signify my stages of life. I been to the penitentiary already, you know what I mean? And now I just dress like a regular guy and just grow my hair out and don’t shave my head. ‘Cause I have a big 1-3 on my chest. You know what I mean?”M: ""What gang is that 1-3?”S: “I was from a gang called Watts Varrio Grape Street in Watts. When I went to prison, I ran with the Southerners so obviously I have a 1-3 to signify my membership.”M: ""Does it keep you safe in jail to be in a gang?”S: ""Yeah it does, yeah. And plus it gives you a lot of alliances and connections it's really like a big crime school"".M: “I hope you're on your way to a better life now. Is it hard to get a job with a criminal record?”S: “It ain’t hard to get nothing if you put your mind to it. I'm gonna keep it real. Excuses are like assholes, everybody has one and they stink. That's why when they're like ‘How did you get out of the gang?’ I just left, dude. I could go back, sure. But out of sight, out of mind. So when people go 'Oh, I can't get out, they'll come look for me.’ That's a lie. Nobody's gonna leave the 'hood to come look for you. They're over there. You're over here. That's the best part about being an American.” The Greater West Hollywood Food Coalition  helps people like Sandino get back on their feet. Want to help make a difference? For details and more portraits follow me ",1448558116,10,"AM",152367,0
"138",8,928,187370,"2015-11-26 08:21:46"," Jodi Cobb  Throwback Thanksgiving. For my National Geographic story on Broadway several years ago, I convinced the manager of the Marriot Marquis to remove the entire window in my room from its frame (it wouldn't open), to get this new angle on the macysthanksgivingdayparade. Before the big Times Square ""cleanup"". . .Happy Thanksgiving everyone!",1448554906,3,"AM",233770,0
"139",9,1812,343589,"2015-11-26 07:41:00"," A white-tailed sea eagle perched on offshore pack ice off of Japan’s Shiretoko Peninsula. The eagles come here in search of herring that aggregate below the surface. Winter in Hokkaido.Photographed on assignment for . Not a turkey, but a bird of a different feather for Thanksgiving!  eagles winter japan raptors OceanWild OceanSoul",1448552460,0,"AM",434189,1
"140",10,407,214098,"2015-11-26 06:48:05"," / for . A group of porters gather around a fire in the moorland region of Mount Kenya. Many of the porters pictured here hail from the small, nearby village of Naromuru. In conjunction with other pursuits, the men of Naromuru have worked as guides and porters on Mount Kenya for generations. With employment opportunities limited in the region, working with tourists and expeditions provides access to relatively steady income. A recent decline in tourism to Kenya has strained the livelihoods of many of those who depend on the industry. During our many fireside conversations, porters expressed a dire hope that tourism soon returns to its previous levels. I hope so, too. I've lived in Kenya for the last three years and have never been more in awe of a country's bountiful beauty and diversity. With relative ease, one can bounce from savannas teeming with game, to pristine tropical beaches to extraordinary rivers rushing through mountain valleys. It's a marvelous place, indeed. Africa beauty mountains adventure hiking climbing outdoors economy",1448549285,4,"AM",234448,0
"141",11,1315,306436,"2015-11-26 06:10:13"," : Happy Thanksgiving!! A born and raised New Yorker, the Macy's Thanksgiving Day Parade has been one of my favorite Thanksgiving traditions since I was a child. As a parent, watching my children's faces light up as their favorite characters came around the corner made me feel like a kid all over again. Shooting this Day To Night™ was special to me, not only because of the incredible scene I was able to capture, because as I watched the parade pass by and these famed characters float along, I couldn't help but be brought back to all those mornings in the living room, watching my now grown kids laugh and scream with excitement as they too were overwhelmed by the magic of the moment. Thanksgiving MacysThanksgivingDayParade ColumbusCircle Spongebob Spiderman Sonic Snoopy holidays NYC",1448547013,6,"AM",372186,0
"142",12,760,267590,"2015-11-26 05:37:55","  So grateful for the National Geographic mission to “Inspire People to Care about the Planet” ! gratitude  clouds clearsky nature",1448545075,3,"AM",305590,0
"143",13,473,283113,"2015-11-26 04:42:17","  People standing in low tide on Dandi Beach where Mahatma Gandhi and his Salt March followers ended their journey.    onassignment gandhi nonviolence resistance campaign india gujarat",1448541737,0,"AM",306763,0
"144",14,2965,403421,"2015-11-26 03:12:15","Photograph by George Steinmetz  /  In this vertigo view it seems like spidey is climbing the wall, but he’s just turned the corner around the Museum of Natural History and begun his crawl down Central Park West during the 2014 Macy’s Thanksgiving Day Parade. From the just-released book New York Air. Photographs are currently on exhibit at  143 Ludlow NYC and autographed copies of the book are available via the bio link at ",1448536335,2,"AM",551671,0
"145",15,4887,266914,"2015-11-25 21:45:48","photo by  | Check out this Western leopard gecko at the ! Follow me to see more members of the PhotoArk! joelsartore photooftheday",1448516748,0,"PM",511264,1
"146",16,2592,268654,"2015-11-25 20:57:54","The surface and the Blind Mexican cave fish have become subjects for scientists studying evolution. As the surface-dwelling ancestors of the cave fish entered the dark cave  environment, the change in habitat changed biological functions-the loss of the eyes due to natural selection. The blind form of the Mexican tetra is different, having unpigmented skin, a better olfactory sense by having taste buds all over its head, and by being able to store four times more energy as fat, allowing it to deal with irregular food supplies more effectively.Darwin said of sightless fish:By the time that an animal had reached, the deepest recesses, disuse had obliterated its eyes, and natural selection will often have affected other changes, such as an increase in the length of antennae or palpi, as compensation for blindness.— Charles Darwin, Origin of Species (1859)  ",1448513874,0,"PM",398254,1
"147",17,320,206907,"2015-11-25 17:00:12","The bustling Iron Market on Grande Rue in downtown Port-au-Prince, destroyed by the 2010 earthquake, was restored to look as it did when built more then a century ago. The market is the working place of hundreds of Haitians selling everything from meat, vegetables, fabrics, paintings, and souvenirs.   student Angelaure Saint Louis, 17. Fotokonbit students shot a story for  in the December issue of National Geographic Magazine entitled Haiti On Its Own Terms. Link to story: http:ngm.nationalgeographic.com/2015/12/haiti-photos-by-haitians-text.    ngm haiti ayiti ironmarket fotokonbit",1448499612,1,"PM",222907,0
"148",18,1930,440294,"2015-11-25 14:04:56"," . In the Midlands of Tasmania, between Launceston and Campbelltown, a lone tree hovers over the hillside.    landscape Tasmania Australia Launceston Campbelltown tree midlands hillside clouds travel",1448489096,0,"PM",536794,0
"149",19,1969,464399,"2015-11-25 12:59:04"," The giant tail of a North Atlantic Right Whale, dripping with water as the animal begins a deep dive in Canada’s Bay of Fundy on an autumn afternoon. The North Atlantic Right whale is the most endangered species of whale on the planet, with only about 500 remaining. Their populations have never recovered from the whaling days due to the fact that they are ‘urban whales’ and live along the eastern seaboard of North America where they must content with industrialization. Each year whales die due to entanglement in fishing gear or due to ship strikes. New regulations that reduce the speed of ship traffic in critical habitat for Right Whales may have a positive effect over time. Photographed onassignment for .To see more ocean wildlife photography follow  and see him live in Los Angeles on December 3rd and in Chicago on December 7th.  whales rightwhales endangeredspecies canada marinemammals OceanWild OceanSoul nature",1448485144,-1,"PM",562849,0
"150",20,1569,368146,"2015-11-25 12:07:42","   Few places make one feeler smaller than the Grand Canyon. Shot on assignment for  during leg 3 of a 600-mile sectional hike across this jewel of national parks. To see from this expedition, follow  petemcbride gratitude humility chasingrivers wilderness love grandcanyon landscape picoftheday ",1448482062,3,"PM",446596,0
